ab_time,gps_speed,acceleration,vehicle_speed,throttle_percentage,brake_percentage,steering_angle,gear_location,drive_mode,speed_KF,acc_KF,accModfiy
20210929:14:41:35.248,0.0504,-0.0199,0.0,0.1,0.0,-0.02,1,自动驾驶,-0.005722518320039836,-0.17060865674242173,-0.19502000000000003
20210929:14:41:35.299,0.18,-0.0144,0.0,0.1,0.0,-0.02,1,自动驾驶,0.05056092620548313,-0.14046585115822227,-0.14112
20210929:14:41:35.350,0.162,0.0176,0.0,0.1,0.0,-0.02,1,自动驾驶,0.0845353765467488,-0.1044627488985734,0.17248000000000002
20210929:14:41:35.400,0.2556,0.0222,0.0,0.1,0.0,-0.02,1,自动驾驶,0.1463784016454272,-0.06095226208144271,0.21756000000000003
20210929:14:41:35.450,0.2556,0.0222,0.0,0.1,0.0,-0.02,1,自动驾驶,0.18755066120536187,-0.029105918601184805,0.21756000000000003
20210929:14:41:35.501,0.2988,0.0047,0.0,0.1,0.0,-0.02,1,自动驾驶,0.23000014635614438,-0.009465272722599411,0.046060000000000004
20210929:14:41:35.549,0.43200000000000005,-0.0113,0.0,0.1,0.0,-0.02,1,自动驾驶,0.30828655065602273,0.011468876118306968,-0.11074
20210929:14:41:35.599,0.5328,-0.0084,0.0,0.1,0.0,-0.03,1,自动驾驶,0.39794778900424693,0.03529795005351331,-0.08232
20210929:14:41:35.650,0.63,0.0188,0.0,0.1,0.0,-0.03,1,自动驾驶,0.49674727823961384,0.07354264796624681,0.18424000000000001
20210929:14:41:35.700,0.6264,0.0226,0.0,0.1,0.0,-0.02,1,自动驾驶,0.5587082774479498,0.0973674676391473,0.22148
20210929:14:41:35.750,0.7704,-0.0036,0.0,0.1,0.0,-0.02,1,自动驾驶,0.6519510984537981,0.11524012527084412,-0.03528
20210929:14:41:35.798,0.9,0.0219,0.0,0.1,0.0,-0.02,1,自动驾驶,0.7650582060787934,0.15083976114650008,0.21462
20210929:14:41:35.848,1.0224,-0.011000000000000001,0.0,0.1,0.0,-0.03,1,自动驾驶,0.880491884812335,0.16618588018777422,-0.10780000000000002
20210929:14:41:35.901,1.0404,0.0238,0.0,0.1,0.0,-0.03,1,自动驾驶,0.9633770903631829,0.18713402717896682,0.23324000000000003
20210929:14:41:35.950,1.1159999999999999,0.0115,0.0,0.1,0.0,-0.02,1,自动驾驶,1.043542243935544,0.19847526214945468,0.11270000000000001
20210929:14:41:36.000,1.2096,0.0199,0.0,0.1,0.0,-0.03,1,自动驾驶,1.131343507151542,0.21540431737527513,0.19502000000000003
20210929:14:41:36.050,1.35,0.0188,0.118906,0.1,0.0,-0.02,1,自动驾驶,1.2416048975473835,0.23724853066739574,0.18424000000000001
20210929:14:41:36.099,1.5336,0.0013,0.23096,0.1,0.0,-0.02,1,自动驾驶,1.3807301627672408,0.257071706287207,0.01274
20210929:14:41:36.148,1.5659999999999998,0.0182,0.340902,0.1,0.0,-0.02,1,自动驾驶,1.4814437834076084,0.2708024483975238,0.17836000000000002
20210929:14:41:36.203,1.6632,0.0105,0.44633,0.1,0.0,-0.02,1,自动驾驶,1.5809309750582083,0.2786065664269472,0.10290000000000002
20210929:14:41:36.253,1.6632,0.0105,0.551763,0.1,0.0,-0.02,1,自动驾驶,1.6413571597997798,0.27270177529649753,0.10290000000000002
20210929:14:41:36.302,1.8432,-0.0067,0.653111,0.1,0.0,-0.02,1,自动驾驶,1.74659055308845,0.27327717229343895,-0.06566000000000001
20210929:14:41:36.350,1.8432,-0.0067,0.752251,0.1,0.0,-0.02,1,自动驾驶,1.8097896866143819,0.25997608755632867,-0.06566000000000001
20210929:14:41:36.400,1.9152,-0.0122,0.8490190000000001,0.1,0.0,-0.02,1,自动驾驶,1.87447841487784,0.24580653746301095,-0.11956000000000001
20210929:14:41:36.451,1.9872,-0.0023,0.942528,0.1,0.0,-0.02,1,自动驾驶,1.9421867248282274,0.23934086709463392,-0.02254
20210929:14:41:36.500,2.0124,-0.0041,1.03309,0.1,0.0,-0.02,1,自动驾驶,1.9920321271005743,0.2267977522497165,-0.04018000000000001
20210929:14:41:36.549,2.0304,0.0016,1.12209,0.1,0.0,-0.01,1,自动驾驶,2.0287864555042767,0.21430831562043126,0.015680000000000003
20210929:14:41:36.600,2.1528,0.001,1.20858,0.1,0.0,-0.02,1,自动驾驶,2.098542361419335,0.21375072785493235,0.009800000000000001
20210929:14:41:36.653,2.178,-0.0215,1.29092,0.1,0.0,-0.02,1,自动驾驶,2.147201808012301,0.19467554748344995,-0.2107
20210929:14:41:36.702,2.2284,-0.0308,1.3713799999999998,0.1,0.0,-0.02,1,自动驾驶,2.1934433134195594,0.17212724994658507,-0.30184000000000005
20210929:14:41:36.748,2.3076,-0.035,1.44864,0.1,0.0,-0.02,1,自动驾驶,2.250158961343189,0.1533711377743032,-0.3430000000000001
20210929:14:41:36.800,2.2896,-0.0406,1.52152,0.1,0.0,-0.02,1,自动驾驶,2.274438098474772,0.12315780630652737,-0.39788
20210929:14:41:36.849,2.3544,-0.0218,1.59156,0.1,0.0,-0.02,1,自动驾驶,2.3147960768322804,0.11134335026578869,-0.21364000000000002
20210929:14:41:36.901,2.3688,-0.0083,1.6579099999999998,0.1,0.0,-0.02,1,自动驾驶,2.345603453885412,0.1047022987809409,-0.08134000000000001
20210929:14:41:36.952,2.4156,-0.0035,1.71944,0.1,0.0,-0.02,1,自动驾驶,2.382874730343221,0.10341372239968123,-0.034300000000000004
20210929:14:41:36.999,2.3976,-0.0124,1.7780799999999999,0.1,0.0,-0.02,1,自动驾驶,2.396644589046483,0.0899396851876473,-0.12152
20210929:14:41:37.048,2.3976,-0.0124,1.83263,0.1,0.0,-0.02,1,自动驾驶,2.4036489126928564,0.0757512644746788,-0.12152
20210929:14:41:37.102,2.484,-0.0399,1.88497,0.1,0.0,-0.02,1,自动驾驶,2.4371416464009186,0.057619015311944605,-0.39102000000000003
20210929:14:41:37.152,2.4696,-0.0315,1.9338099999999998,0.1,0.0,-0.02,1,自动驾驶,2.4509901573419723,0.03941071752557699,-0.30870000000000003
20210929:14:41:37.202,2.5344,-0.040999999999999995,1.9806099999999998,0.1,0.0,-0.02,1,自动驾驶,2.4821548880447137,0.024013154984775673,-0.4018
20210929:14:41:37.254,2.5344,-0.040999999999999995,2.02593,0.1,0.0,-0.03,1,自动驾驶,2.499417390098535,0.005771539772556317,-0.4018
20210929:14:41:37.300,2.5848,-0.0382,2.0699099999999997,0.1,0.0,-0.02,1,自动驾驶,2.528630927424625,-0.005051021109442836,-0.37436
20210929:14:41:37.348,2.5596,-0.0383,2.1112,0.1,0.0,-0.03,1,自动驾驶,2.53505681157808,-0.022201337514399472,-0.37534
20210929:14:41:37.400,2.52,-0.0387,2.14855,0.1,0.0,-0.02,1,自动驾驶,2.521415758702469,-0.04423218663533454,-0.37926
20210929:14:41:37.451,2.5632,-0.0419,2.1823599999999996,0.1,0.0,-0.02,1,自动驾驶,2.527992279252284,-0.058809506149081286,-0.41062000000000004
20210929:14:41:37.501,2.5236,-0.0354,2.21443,0.1,0.0,-0.02,1,自动驾驶,2.515670683383981,-0.07459936443027353,-0.34692000000000006
20210929:14:41:37.549,2.5272,-0.0355,2.24345,0.1,0.0,-0.02,1,自动驾驶,2.5082280243960713,-0.08706980760533678,-0.3479
20210929:14:41:37.599,2.5632,-0.0273,2.26971,0.1,0.0,-0.02,1,自动驾驶,2.5181707207069786,-0.08818623326354671,-0.26754000000000006
20210929:14:41:37.650,2.52,-0.0283,2.2949599999999997,0.1,0.0,-0.02,1,自动驾驶,2.50661148574795,-0.09676066506962826,-0.27734000000000003
20210929:14:41:37.705,2.5596,-0.0261,2.3178099999999997,0.1,0.0,-0.02,1,自动驾驶,2.5150278656979737,-0.09667230203161195,-0.25578
20210929:14:41:37.749,2.5956,-0.013999999999999999,2.33849,0.1,0.0,-0.02,1,自动驾驶,2.536218494828909,-0.08613233825748058,-0.1372
20210929:14:41:37.798,2.5704,-0.0293,2.3572,0.1,0.0,-0.01,1,自动驾驶,2.537647005409482,-0.09118678502816108,-0.28714
20210929:14:41:37.853,2.6244,-0.0237,2.37561,0.1,0.0,-0.01,1,自动驾驶,2.5604319068757824,-0.08575873270450375,-0.23226
20210929:14:41:37.901,2.5956,-0.0311,2.39376,0.1,0.0,-0.01,1,自动驾驶,2.5620319483499596,-0.09173048381074266,-0.30478
20210929:14:41:37.950,2.6172,-0.0243,2.41018,0.1,0.0,-0.01,1,自动驾驶,2.5720477269949766,-0.09074797536240882,-0.23814
20210929:14:41:37.999,2.6748,-0.0231,2.42653,0.1,0.0,-0.01,1,自动驾驶,2.6013584845686246,-0.08291411202170525,-0.22638
20210929:14:41:38.050,2.6748,-0.0231,2.44132,0.1,0.0,-0.01,1,自动驾驶,2.619678010124043,-0.07956903022529505,-0.22638
20210929:14:41:38.101,2.718,-0.0372,2.45471,0.1,0.0,-0.01,1,自动驾驶,2.64624028375944,-0.08118938515699033,-0.36456
20210929:14:41:38.152,2.6352,-0.0457,2.46793,0.1,0.0,-0.01,1,自动驾驶,2.6276938347097585,-0.10185092958745486,-0.44786000000000004
20210929:14:41:38.199,2.6892,-0.0453,2.48139,0.1,0.0,-0.01,1,自动驾驶,2.6362900791707693,-0.1110730701893986,-0.44394000000000006
20210929:14:41:38.249,2.6892,-0.0453,2.49505,0.1,0.0,0.0,1,自动驾驶,2.64058704039812,-0.12067529829999812,-0.44394000000000006
20210929:14:41:38.303,2.6712,-0.0499,2.5089,0.1,0.0,0.02,1,自动驾驶,2.6344104453745643,-0.1350252169032971,-0.48902
20210929:14:41:38.351,2.6532,-0.0541,2.52143,0.1,0.0,0.03,1,自动驾驶,2.6215631333799982,-0.15213456983477583,-0.5301800000000001
20210929:14:41:38.399,2.6892,-0.0486,2.5312799999999998,0.1,0.0,0.02,1,自动驾驶,2.627442635240293,-0.15832744174377505,-0.47628
20210929:14:41:38.450,2.6172,-0.0495,2.54019,0.1,0.0,0.02,1,自动驾驶,2.601467002915949,-0.17476009758101005,-0.48510000000000003
20210929:14:41:38.503,2.6928,-0.0499,2.54826,0.1,0.0,0.02,1,自动驾驶,2.614524537441856,-0.17673391746667605,-0.48902
